subject,exp_type,experiment,tcs
LTP305,scalp,ltpFR2,0.7555509178110742
LTP306,scalp,ltpFR2,0.7775564903435646
LTP307,scalp,ltpFR2,0.6665462288027653
LTP308,scalp,ltpFR2,0.6560951490124401
LTP309,scalp,ltpFR2,0.5708653786419543
LTP310,scalp,ltpFR2,0.8619713490854207
LTP311,scalp,ltpFR2,0.8033291246198243
LTP312,scalp,ltpFR2,0.7020417074306649
LTP313,scalp,ltpFR2,0.7992156739316858
LTP314,scalp,ltpFR2,0.6423124751523795
LTP315,scalp,ltpFR2,0.6510843462023302
LTP316,scalp,ltpFR2,0.7879176196474557
LTP317,scalp,ltpFR2,0.7484639899631064
LTP318,scalp,ltpFR2,0.7325826081810476
LTP319,scalp,ltpFR2,0.7522670036130841
LTP320,scalp,ltpFR2,0.6007687292467998
LTP321,scalp,ltpFR2,0.7698552825957881
LTP322,scalp,ltpFR2,0.6944689030608465
LTP323,scalp,ltpFR2,0.7399732095414343
LTP324,scalp,ltpFR2,0.7983905618677992
LTP325,scalp,ltpFR2,0.7373489151574188
LTP326,scalp,ltpFR2,0.6559291977133753
LTP327,scalp,ltpFR2,0.7827723775311656
LTP328,scalp,ltpFR2,0.8739960202902626
LTP329,scalp,ltpFR2,0.6070765884526066
LTP330,scalp,ltpFR2,0.6162386763148726
LTP331,scalp,ltpFR2,0.8535398562783933
LTP334,scalp,ltpFR2,0.6829596018541287
LTP336,scalp,ltpFR2,0.7037552359859368
LTP337,scalp,ltpFR2,0.7071631883533116
LTP338,scalp,ltpFR2,0.772412887472923
LTP339,scalp,ltpFR2,0.6992733613849547
LTP340,scalp,ltpFR2,0.7742195132198584
LTP341,scalp,ltpFR2,0.7558600916867814
LTP342,scalp,ltpFR2,0.8002871747117171
LTP343,scalp,ltpFR2,0.7327614998198175
LTP344,scalp,ltpFR2,0.7380808672135979
LTP346,scalp,ltpFR2,0.7762586435039429
LTP347,scalp,ltpFR2,0.8407952794158493
LTP348,scalp,ltpFR2,0.5290316835280894
LTP349,scalp,ltpFR2,0.712816394694589
LTP352,scalp,ltpFR2,0.6028965706307392
LTP353,scalp,ltpFR2,0.6540698630441695
LTP354,scalp,ltpFR2,0.6182983440528805
LTP355,scalp,ltpFR2,0.7336084172206697
LTP356,scalp,ltpFR2,0.9536469743633236
LTP357,scalp,ltpFR2,0.7843494278926729
LTP358,scalp,ltpFR2,0.7027834409505976
LTP359,scalp,ltpFR2,0.7650522059398793
LTP360,scalp,ltpFR2,0.7655496954142543
LTP361,scalp,ltpFR2,0.7755157096631556
LTP362,scalp,ltpFR2,0.6980356636785405
LTP363,scalp,ltpFR2,0.6324860536987189
LTP364,scalp,ltpFR2,0.793072444717852
LTP365,scalp,ltpFR2,0.6156872002130624
LTP366,scalp,ltpFR2,0.668766294390541
LTP367,scalp,ltpFR2,0.887719035198654
LTP368,scalp,ltpFR2,0.6621397711051541
LTP369,scalp,ltpFR2,0.8789914173841571
LTP370,scalp,ltpFR2,0.6601798777222432
LTP371,scalp,ltpFR2,0.808902394741843
LTP372,scalp,ltpFR2,0.8377419084435345
LTP373,scalp,ltpFR2,0.6142070411562104
LTP374,scalp,ltpFR2,0.622993581652104
LTP375,scalp,ltpFR2,0.6237846377328008
LTP376,scalp,ltpFR2,0.6576320852638637
LTP377,scalp,ltpFR2,0.7008369044958458
LTP378,scalp,ltpFR2,0.7553842296196025
LTP379,scalp,ltpFR2,0.9821678947191768
LTP381,scalp,ltpFR2,0.5621955538090319
LTP382,scalp,ltpFR2,0.6895533157894334
LTP383,scalp,ltpFR2,0.6443575752987797
LTP384,scalp,ltpFR2,0.713028335141332
LTP385,scalp,ltpFR2,0.6874776158556875
LTP386,scalp,ltpFR2,0.6625295596343458
LTP387,scalp,ltpFR2,0.6874797505971366
LTP388,scalp,ltpFR2,0.6435164741553218
LTP389,scalp,ltpFR2,0.6695592251365162
LTP390,scalp,ltpFR2,0.7473201474832887
LTP391,scalp,ltpFR2,0.616429124278464
LTP392,scalp,ltpFR2,0.6289845239408782
LTP393,scalp,ltpFR2,0.7249809897796209
