subject,exp_type,experiment,bin,psim,irt
TJ035,intracranial,pyFR,0.0,0.0,2019.0
TJ035,intracranial,pyFR,2.0,0.2857142857142857,3343.5
TJ035,intracranial,pyFR,3.0,0.3333333333333333,1762.0
TJ035,intracranial,pyFR,5.0,0.5714285714285714,2532.0
TJ036,intracranial,pyFR,0.0,0.0,2350.324786324786
TJ036,intracranial,pyFR,1.0,0.23462301587301587,1383.125
TJ036,intracranial,pyFR,2.0,0.2857142857142857,2029.5666666666666
TJ036,intracranial,pyFR,3.0,0.33174603174603173,1427.0666666666666
TJ036,intracranial,pyFR,4.0,0.4000000000000001,2115.0
TJ036,intracranial,pyFR,5.0,0.5718253968253968,2061.3
TJ037,intracranial,pyFR,0.0,0.0,838.72
TJ037,intracranial,pyFR,1.0,0.22916666666666666,519.0
TJ037,intracranial,pyFR,2.0,0.2857142857142857,842.8
TJ037,intracranial,pyFR,3.0,0.3333333333333333,610.7692307692307
TJ037,intracranial,pyFR,4.0,0.4,578.0
TJ037,intracranial,pyFR,5.0,0.501763668430335,560.2222222222222
TJ038,intracranial,pyFR,0.0,0.0,6326.152542372882
TJ038,intracranial,pyFR,1.0,0.2333333333333333,2627.2
TJ038,intracranial,pyFR,2.0,0.2857142857142857,10603.142857142857
TJ038,intracranial,pyFR,3.0,0.3333333333333333,6388.416666666667
TJ038,intracranial,pyFR,4.0,0.4,8359.8
TJ038,intracranial,pyFR,5.0,0.5531746031746032,6086.8
TJ039,intracranial,pyFR,0.0,0.0,4056.9202279202277
TJ039,intracranial,pyFR,1.0,0.23052202101497873,4319.859154929577
TJ039,intracranial,pyFR,2.0,0.2857142857142857,3505.095238095238
TJ039,intracranial,pyFR,3.0,0.33225108225108224,3987.060606060606
TJ039,intracranial,pyFR,4.0,0.4,5267.0
TJ039,intracranial,pyFR,5.0,0.5691831204026325,2987.5853658536585
TJ040,intracranial,pyFR,0.0,0.0,2671.3333333333335
TJ040,intracranial,pyFR,1.0,0.2361111111111111,7535.0
TJ040,intracranial,pyFR,2.0,0.2857142857142857,4973.2
TJ040,intracranial,pyFR,3.0,0.3333333333333333,4506.0
TJ040,intracranial,pyFR,5.0,0.5079365079365079,6440.5
TJ041,intracranial,pyFR,0.0,0.0,3625.543046357616
TJ041,intracranial,pyFR,1.0,0.23922902494331066,2974.964285714286
TJ041,intracranial,pyFR,2.0,0.2854516806722689,2918.779411764706
TJ041,intracranial,pyFR,3.0,0.3333333333333333,4163.083333333333
TJ041,intracranial,pyFR,4.0,0.4000000000000001,2017.5
TJ041,intracranial,pyFR,5.0,0.5961199294532628,2873.222222222222
TJ042,intracranial,pyFR,0.0,0.0,1982.1176470588234
TJ042,intracranial,pyFR,1.0,0.2361111111111111,1299.0
TJ042,intracranial,pyFR,2.0,0.2857142857142857,1931.6666666666667
TJ042,intracranial,pyFR,3.0,0.3333333333333333,5319.2
TJ042,intracranial,pyFR,4.0,0.4,1262.0
TJ042,intracranial,pyFR,5.0,0.5,786.0
TJ043,intracranial,pyFR,0.0,0.0,4724.145161290323
TJ043,intracranial,pyFR,1.0,0.2231746031746032,4746.2
TJ043,intracranial,pyFR,2.0,0.2857142857142857,3970.777777777778
TJ043,intracranial,pyFR,3.0,0.3333333333333333,2704.0
TJ043,intracranial,pyFR,4.0,0.4,1654.0
TJ043,intracranial,pyFR,5.0,0.5220458553791887,2634.6666666666665
TJ044,intracranial,pyFR,0.0,0.0,4124.127272727273
TJ044,intracranial,pyFR,1.0,0.2474747474747475,5897.272727272727
TJ044,intracranial,pyFR,2.0,0.2857142857142857,3689.214285714286
TJ044,intracranial,pyFR,3.0,0.3306878306878307,6274.333333333333
TJ044,intracranial,pyFR,5.0,0.6076190476190476,2558.6
TJ045,intracranial,pyFR,0.0,0.0,3503.4444444444443
TJ045,intracranial,pyFR,1.0,0.25,2093.0
TJ045,intracranial,pyFR,2.0,0.2857142857142857,1215.0
TJ045,intracranial,pyFR,3.0,0.3333333333333333,1904.875
TJ045,intracranial,pyFR,4.0,0.4,2454.5
TJ045,intracranial,pyFR,5.0,0.578042328042328,3007.3333333333335
TJ047,intracranial,pyFR,0.0,0.0,5175.457142857143
TJ047,intracranial,pyFR,1.0,0.2361111111111111,13286.5
TJ047,intracranial,pyFR,2.0,0.2857142857142857,8106.0
TJ047,intracranial,pyFR,3.0,0.3333333333333333,3170.875
TJ047,intracranial,pyFR,4.0,0.4,1021.0
TJ047,intracranial,pyFR,5.0,0.6031746031746031,2581.1666666666665
TJ048,intracranial,pyFR,0.0,0.0,4179.5
TJ048,intracranial,pyFR,1.0,0.23743386243386244,2197.4166666666665
TJ048,intracranial,pyFR,2.0,0.2857142857142857,1883.1176470588234
TJ048,intracranial,pyFR,3.0,0.3299319727891156,8714.214285714286
TJ048,intracranial,pyFR,4.0,0.4000000000000001,1551.0
TJ048,intracranial,pyFR,5.0,0.5743589743589743,4310.7692307692305
TJ049,intracranial,pyFR,0.0,0.0,4966.888888888889
TJ049,intracranial,pyFR,1.0,0.25,25250.0
TJ049,intracranial,pyFR,2.0,0.2857142857142857,3877.8
TJ049,intracranial,pyFR,3.0,0.3333333333333333,2133.3333333333335
TJ049,intracranial,pyFR,4.0,0.4,2751.0
TJ050,intracranial,pyFR,0.0,0.0,2798.36
TJ050,intracranial,pyFR,1.0,0.2313131313131313,2767.2272727272725
TJ050,intracranial,pyFR,2.0,0.2857142857142857,5871.307692307692
TJ050,intracranial,pyFR,3.0,0.33333333333333326,4147.76
TJ050,intracranial,pyFR,4.0,0.4000000000000001,1330.3333333333333
TJ050,intracranial,pyFR,5.0,0.5825396825396825,1274.5
TJ051,intracranial,pyFR,0.0,0.0,5097.982142857143
TJ051,intracranial,pyFR,1.0,0.23148148148148148,10081.666666666666
TJ051,intracranial,pyFR,2.0,0.2857142857142857,4993.666666666667
TJ051,intracranial,pyFR,3.0,0.3333333333333333,5075.0
TJ051,intracranial,pyFR,5.0,0.5761904761904761,5155.6
TJ052,intracranial,pyFR,0.0,0.0,3363.777777777778
TJ052,intracranial,pyFR,1.0,0.25,6603.333333333333
TJ052,intracranial,pyFR,2.0,0.2857142857142857,25030.0
TJ052,intracranial,pyFR,3.0,0.3333333333333333,1436.5
TJ052,intracranial,pyFR,5.0,0.6190476190476191,1064.0
TJ053,intracranial,pyFR,0.0,0.0,6432.888888888889
TJ053,intracranial,pyFR,1.0,0.2222222222222222,1169.0
TJ053,intracranial,pyFR,2.0,0.2857142857142857,7704.75
TJ053,intracranial,pyFR,3.0,0.3333333333333333,4036.0
TJ053,intracranial,pyFR,5.0,0.7333333333333334,4873.5
TJ054,intracranial,pyFR,0.0,0.0,3735.285714285714
TJ054,intracranial,pyFR,1.0,0.25,7834.0
TJ054,intracranial,pyFR,2.0,0.2857142857142857,6941.6
TJ054,intracranial,pyFR,3.0,0.3333333333333333,4206.833333333333
TJ054,intracranial,pyFR,4.0,0.4,4894.0
TJ054,intracranial,pyFR,5.0,0.5291005291005291,1182.6666666666667
TJ055,intracranial,pyFR,0.0,0.0,2260.2727272727275
TJ055,intracranial,pyFR,1.0,0.25,7840.5
TJ055,intracranial,pyFR,2.0,0.2857142857142857,768.0
TJ055,intracranial,pyFR,3.0,0.3333333333333333,3176.6666666666665
TJ055,intracranial,pyFR,4.0,0.4,2635.5
TJ055,intracranial,pyFR,5.0,0.5052910052910052,5199.666666666667
TJ056,intracranial,pyFR,0.0,0.0,2759.4
TJ056,intracranial,pyFR,1.0,0.25,8805.0
TJ056,intracranial,pyFR,2.0,0.2857142857142857,9565.666666666666
TJ057,intracranial,pyFR,0.0,0.0,2772.3676470588234
TJ057,intracranial,pyFR,1.0,0.24074074074074073,1362.3333333333333
TJ057,intracranial,pyFR,2.0,0.2857142857142857,3652.8333333333335
TJ057,intracranial,pyFR,3.0,0.33035714285714285,3043.0
TJ057,intracranial,pyFR,4.0,0.4,1333.25
TJ057,intracranial,pyFR,5.0,0.5736961451247166,3861.285714285714
TJ058,intracranial,pyFR,0.0,0.0,3973.3888888888887
TJ058,intracranial,pyFR,1.0,0.25,2102.0
TJ058,intracranial,pyFR,2.0,0.2857142857142857,5380.666666666667
TJ058,intracranial,pyFR,3.0,0.3333333333333333,4932.75
TJ058,intracranial,pyFR,4.0,0.4,5420.0
TJ059,intracranial,pyFR,0.0,0.0,2333.722222222222
TJ059,intracranial,pyFR,1.0,0.2361111111111111,952.5
TJ059,intracranial,pyFR,2.0,0.2857142857142857,2060.8
TJ059,intracranial,pyFR,3.0,0.3333333333333333,1182.6666666666667
TJ059,intracranial,pyFR,4.0,0.4,7673.0
TJ059,intracranial,pyFR,5.0,0.5,1191.0
TJ060,intracranial,pyFR,0.0,0.0,4469.900584795321
TJ060,intracranial,pyFR,1.0,0.21755368814192344,4994.705882352941
TJ060,intracranial,pyFR,2.0,0.2857142857142857,3689.5172413793102
TJ060,intracranial,pyFR,3.0,0.3333333333333333,2837.125
TJ060,intracranial,pyFR,4.0,0.4000000000000001,6993.333333333333
TJ060,intracranial,pyFR,5.0,0.5604538690476191,5642.75
TJ061,intracranial,pyFR,0.0,0.0,1863.923076923077
TJ061,intracranial,pyFR,1.0,0.25,3196.0
TJ061,intracranial,pyFR,2.0,0.2857142857142857,4644.5
TJ061,intracranial,pyFR,3.0,0.3333333333333333,6093.666666666667
TJ061,intracranial,pyFR,5.0,0.5,16191.0
TJ062,intracranial,pyFR,0.0,0.0,3788.675675675676
TJ062,intracranial,pyFR,1.0,0.21984126984126987,2925.5
TJ062,intracranial,pyFR,2.0,0.2833333333333333,3781.5333333333333
TJ062,intracranial,pyFR,3.0,0.329004329004329,2957.909090909091
